Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Gas Type,Scale,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Honduras,HN,HND,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1. Energy,Carbon dioxide,Units,1.123191976,1.123191976,1.158467913,1.266173407,1.249289297,1.327971113,1.4213826,1.578267177,1.584455235,1.684669227,1.695725784,1.611652178,1.595441813,1.762725414,1.864606106,1.671581974,1.701310663,1.900198165,2.095412759,2.318727934,2.177192395,2.163136562,2.463117433,2.601678521,2.999877867,3.575392465,3.520900913,3.620726283,4.324058255,4.360524745,4.487715476,5.290766463,5.620189097,6.246160151,7.035835786,6.459432631,7.355098677,7.89291907,7.939094632,7.436061784,7.320098381,8.803847679,9.219597644,8.991426981,9.222684744,9.814048008,9.613196917,8.466959509,8.197860697,9.431028805,8.205327646,9.212504086,9.657727264,10.27419224,,,,,,,
Honduras,HN,HND,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1. Energy,Greenhouse gas,Units,1.51170217,1.511246046,1.557606706,1.673877987,1.662949851,1.749588084,1.849351881,2.014778042,2.030271117,2.138913864,2.163561377,2.084746892,2.076357001,2.254977652,2.364570057,2.175668886,2.210567292,2.422832956,2.628791214,2.861844786,2.734658827,2.724451228,3.03112056,3.173950241,3.580230642,4.160622272,4.115046276,4.292487206,5.036076221,4.853443633,5.003297807,5.804405104,6.150803914,6.80621788,7.625935888,7.074146153,7.998731488,8.58706534,8.648786976,8.17176677,8.085370828,9.607375991,10.04064306,9.825904243,10.11287023,10.74806641,10.53139709,9.14262364,8.90730173,10.15886371,8.913328772,9.917089539,10.34959421,10.97225864,,,,,,,
Honduras,HN,HND,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1. Energy,Methane,Units,0.331617493,0.331476268,0.340758544,0.346789637,0.352104535,0.358157195,0.363059852,0.369775729,0.376461893,0.383265854,0.394147332,0.398226033,0.404751811,0.41262196,0.41984609,0.426223896,0.43179633,0.441516236,0.449956886,0.457998563,0.471803697,0.475147664,0.479236976,0.481310393,0.486869149,0.488674096,0.494942781,0.559548894,0.58999708,0.377149563,0.418107777,0.411898147,0.423800195,0.446028244,0.468678016,0.489936593,0.513745043,0.543600907,0.566062305,0.592062664,0.620186023,0.650656784,0.663817633,0.675989941,0.688633859,0.759230759,0.731926395,0.513490566,0.558316525,0.55893724,0.558736788,0.548649137,0.534779579,0.536526979,,,,,,,
Honduras,HN,HND,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1. Energy,Nitrous oxide,Units,0.056892702,0.056577802,0.058380249,0.060914942,0.061556018,0.063459775,0.064909429,0.066735136,0.06935399,0.070978783,0.073688261,0.074868682,0.076163377,0.079630279,0.080117862,0.077863016,0.077460299,0.081118555,0.083421569,0.085118289,0.085662734,0.086167001,0.088766152,0.090961327,0.093483626,0.096555711,0.099202582,0.112212029,0.122020886,0.115769325,0.097474554,0.101740495,0.106814622,0.114029485,0.121422086,0.124776929,0.129887768,0.150545363,0.143630038,0.143642322,0.145086424,0.152871527,0.157227781,0.158487322,0.201551629,0.174787645,0.186273774,0.162173565,0.151124508,0.168897663,0.149264338,0.155936315,0.157087369,0.161539422,,,,,,,
Honduras,HN,HND,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A. Fuel Combustion Activities,Carbon dioxide,Units,1.123191515,1.123191515,1.158467424,1.266172914,1.24928881,1.327970615,1.421382173,1.578266754,1.584454808,1.684668785,1.695725349,1.61165198,1.595441681,1.762725177,1.864605758,1.671581698,1.701310479,1.900197883,2.095412396,2.318727532,2.177192018,2.16313621,2.463117175,2.601678521,2.999877867,3.575392465,3.520900913,3.620726283,4.324058255,4.360524745,4.487715476,5.290766463,5.620189097,6.246160151,7.035835786,6.459432631,7.355098677,7.89291907,7.939094632,7.436061784,7.320098381,8.803847679,9.219597644,8.991426981,9.222684744,9.814048008,9.613196917,8.466959509,8.197860697,9.431028805,8.205327646,9.190798244,9.639837971,10.25574141,,,,,,,
Honduras,HN,HND,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A. Fuel Combustion Activities,Greenhouse gas,Units,1.489841813,1.489525919,1.532509012,1.64874255,1.638158039,1.724747707,1.825849276,1.991506118,2.007403657,2.115873101,2.137344025,2.060631499,2.052687186,2.230804863,2.339829697,2.151587321,2.187885522,2.399437561,2.604732697,2.837771836,2.708063232,2.695113398,2.99978808,3.142064757,3.545446656,4.125838286,4.074464891,4.251905822,4.969406741,4.85338815,5.003297807,5.804362676,6.150768013,6.806162397,7.625864087,7.074080879,7.998620522,8.586592103,8.647990633,8.170797451,8.082866177,9.604509059,10.03842539,9.823121601,10.1099546,10.74535963,10.52935566,9.142189026,8.906155472,10.15650869,8.912395038,9.892220318,10.32842001,10.9505229,,,,,,,
Honduras,HN,HND,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A. Fuel Combustion Activities,Methane,Units,0.309961644,0.309959019,0.315902283,0.321893678,0.327550237,0.333552384,0.339790782,0.346735377,0.35382405,0.360452764,0.368193231,0.374371367,0.381340372,0.388705367,0.395359751,0.402393996,0.409363847,0.418367941,0.426143265,0.434168262,0.445482724,0.446118711,0.44824756,0.449801993,0.452496526,0.454301473,0.454841321,0.519447433,0.524116048,0.37709408,0.418107777,0.411855719,0.423764294,0.445972761,0.468606215,0.489871319,0.513634077,0.54312767,0.565265962,0.591093345,0.617698101,0.647812718,0.661616355,0.673226427,0.68573804,0.75654105,0.729901356,0.513061092,0.557174176,0.556601106,0.557806107,0.545515242,0.53152415,0.533271551,,,,,,,
Honduras,HN,HND,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A. Fuel Combustion Activities,Nitrous oxide,Units,0.056688653,0.056375385,0.058139305,0.060675958,0.061318992,0.063224708,0.064676321,0.066503987,0.069124799,0.070751552,0.073425445,0.074608152,0.075905132,0.079374319,0.079864188,0.077611628,0.077211195,0.080871737,0.083177036,0.084876042,0.08538849,0.085858478,0.088423345,0.090584242,0.093072263,0.096144348,0.098722658,0.111732105,0.121232439,0.115769325,0.097474554,0.101740495,0.106814622,0.114029485,0.121422086,0.124776929,0.129887768,0.150545363,0.143630038,0.143642322,0.145069695,0.152848661,0.157211396,0.158468193,0.201531815,0.174770571,0.18625739,0.162168425,0.151120598,0.168878776,0.149261286,0.155906832,0.157057886,0.161509938,,,,,,,
Honduras,HN,HND,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A.1. Energy Industries,Carbon dioxide,Units,0.21049955,0.21049955,0.172873206,0.179290251,0.172291082,0.187654319,0.236315543,0.29421594,0.182935255,0.163975193,0.224793054,0.229074032,0.251921667,0.244969633,0.242341882,0.128875303,0.068935284,0.086772782,0.083467348,0.066889657,0.042632481,0.033006913,0.115166986,0.166746523,0.32766428,0.903858533,0.733035844,0.869650022,1.319135007,0.838632149,1.036310982,1.303898254,1.479299903,1.611923096,2.290996203,1.969172687,2.715928142,2.57552331,2.601094247,2.283044151,2.286155763,2.957838619,2.843797489,3.237201004,3.61772409,3.553972446,3.971641072,2.625715679,2.517183699,3.477176688,3.286322617,3.06115694,3.320149199,3.533146975,,,,,,,
Honduras,HN,HND,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A.1. Energy Industries,Greenhouse gas,Units,0.211142802,0.211142802,0.173405996,0.179844085,0.172819352,0.188229926,0.237016231,0.295111662,0.183466111,0.164445177,0.225466335,0.229784163,0.252708464,0.245726733,0.24305158,0.129231052,0.069144938,0.087012091,0.083695383,0.067056428,0.042739532,0.033082399,0.115506248,0.167292909,0.32872619,0.906760828,0.735360115,0.872401852,1.323362162,0.848227745,1.039895165,1.310002139,1.48694131,1.623803144,2.310919969,1.981736331,2.731508855,2.591873625,2.62152938,2.315200014,2.305317797,2.983251652,2.870323068,3.265803705,3.644371788,3.590179442,4.017598641,2.667880546,2.556604283,3.527438938,3.328814077,3.100689525,3.35993235,3.57355508,,,,,,,
