Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,GCAM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.83382,24.9842,25.10487,25.21931,25.30746,25.35632,25.40044
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.84892,25.02933,25.14412,25.26067,25.39011,25.49019,25.63848
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.83315,24.97262,25.0873,25.23276,25.34851,25.41501,25.45733
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.84215,24.9797,25.0923,25.22521,25.34725,25.46807,25.58102
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.83298,24.96831,25.08504,25.19228,25.26752,25.2995,25.28696
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.84244,24.98304,25.09673,25.22825,25.35445,25.47854,25.60992
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.83402,24.98831,25.1102,25.21334,25.27472,25.29189,25.27096
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82006,24.97511,25.1131,25.22302,25.30163,25.34836,25.38701
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82855,24.97912,25.0897,25.22136,25.35079,25.47211,25.59712
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.81992,24.97208,25.08454,25.23686,25.34313,25.39804,25.44511
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82867,24.97856,25.09007,25.24177,25.36896,25.45909,25.54943
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82007,24.97619,25.13834,25.22384,25.25654,25.25735,25.25563
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82881,24.98033,25.09071,25.22148,25.3372,25.43644,25.5344
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82007,24.97575,25.12334,25.20124,25.23501,25.2355,25.22998
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82770371,24.97171997,25.08185948,25.19460987,25.26318792,25.29748505,25.31906342
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82770371,24.97540959,25.0794796,25.21232023,25.33779906,25.46458888,25.60217068
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82770371,24.97540959,25.0794796,25.20205373,25.30669815,25.35046454,25.35779811
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82770371,24.97540959,25.0794796,25.20992363,25.33186305,25.43559383,25.52776624
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82770371,24.97810236,25.08569628,25.14951263,25.14859809,25.10995426,25.06985056
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82770371,24.9750562,25.0796012,25.2080285,25.30453874,25.38760363,25.46570008
Honduras,HN,HND,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.82770371,24.97421666,25.08200142,25.16173611,25.17852989,25.16631904,25.16093315
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,GCAM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.73513,24.83135,24.91971,24.9919,25.04058,25.06996,25.09655
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.73483,24.82851,24.90989,25.00185,25.09619,25.17815,25.27781
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.73487,24.82649,24.91195,25.01227,25.07987,25.11871,25.14432
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.73493,24.82804,24.91029,25.0025,25.08116,25.14855,25.21714
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.73471,24.82601,24.90628,24.97722,25.01176,25.01993,25.00598
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.7351,24.83021,24.91453,25.00227,25.08355,25.15852,25.2408
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.7352,24.83474,24.92014,24.97826,25.00239,25.00971,24.98624
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.72909,24.83904,24.92994,25.00087,25.0463,25.06341,25.08086
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.72889,24.83726,24.91309,25.00675,25.09666,25.16237,25.23741
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.72889,24.83498,24.91331,25.02424,25.08664,25.10833,25.12609
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.729,24.83716,24.91313,25.01812,25.09367,25.13951,25.17998
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.7291,24.83826,24.92995,24.9706,24.98004,24.96538,24.94969
Honduras,HN,HND,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.72917,24.83865,24.91228,25.00309,25.0754,25.12354,25.17643
