scientificName,redlistCategory_ordinal,populationTrend_ordinal,assessmentYear,systems,assessmentDate
Hexanchus griseus,2,0,2019,['Marine'],2019-11-21 00:00:00+00:00
Lutjanus cyanopterus,3,0,2015,['Marine'],2015-10-10 00:00:00+00:00
Canthon indigaceus,1,3,2015,['Terrestrial'],2015-02-05 00:00:00+00:00
Ateuchus guatemalensis,1,3,2015,['Terrestrial'],2015-02-05 00:00:00+00:00
Ontherus azteca,1,3,2013,['Terrestrial'],2013-01-31 00:00:00+00:00
Coprophanaeus corythus,1,3,2013,['Terrestrial'],2013-01-31 00:00:00+00:00
Anchoa walkeri,1,3,2019,"['Marine', 'Freshwater']",2019-10-18 00:00:00+00:00
Microgobius tabogensis,1,3,2018,"['Marine', 'Freshwater']",2018-08-31 00:00:00+00:00
Hyporhamphus roberti,1,3,2019,"['Marine', 'Freshwater']",2019-03-01 00:00:00+00:00
Caranx sexfasciatus,1,0,2018,"['Marine', 'Freshwater']",2018-12-13 00:00:00+00:00
Lutjanus apodus,1,0,2015,['Marine'],2015-10-10 00:00:00+00:00
Strongylura marina,1,3,2018,"['Marine', 'Freshwater']",2018-09-06 00:00:00+00:00
Dalechampia scandens,1,3,2007,['Terrestrial'],2007-03-07 00:00:00+00:00
Battus ingenuus,1,3,2018,['Terrestrial'],2018-04-05 00:00:00+00:00
Papilio ornythion,1,3,2019,['Terrestrial'],2019-07-30 00:00:00+00:00
Libytheana carinenta,1,3,2020,['Terrestrial'],2020-04-15 00:00:00+00:00
Danaus gilippus,1,3,2020,['Terrestrial'],2020-04-10 00:00:00+00:00
Vanessa virginiensis,1,3,2020,['Terrestrial'],2020-04-22 00:00:00+00:00
Carcharhinus acronotus,4,0,2019,['Marine'],2019-07-01 00:00:00+00:00
Myliobatis goodei,3,0,2019,['Marine'],2019-06-21 00:00:00+00:00
Mustelus norrisi,2,0,2019,['Marine'],2019-06-21 00:00:00+00:00
Carcharhinus altimus,2,0,2020,['Marine'],2020-02-14 00:00:00+00:00
Cruriraja rugosa,1,1,2019,['Marine'],2019-06-23 00:00:00+00:00
Alopias superciliosus,3,0,2018,['Marine'],2018-11-06 00:00:00+00:00
Pseudobatos lentiginosus,3,0,2019,['Marine'],2019-06-23 00:00:00+00:00
Parachromis friedrichsthalii,1,3,2019,['Freshwater'],2019-12-18 00:00:00+00:00
Sicydium multipunctatum,1,3,2019,['Freshwater'],2019-01-10 00:00:00+00:00
Gobiosoma yucatanum,1,3,2019,"['Marine', 'Freshwater']",2019-02-28 00:00:00+00:00
Loxocemus bicolor,1,3,2012,['Terrestrial'],2012-05-08 00:00:00+00:00
Archosargus rhomboidalis,1,3,2011,['Marine'],2011-03-30 00:00:00+00:00
Calamus bajonado,1,3,2011,['Marine'],2011-03-30 00:00:00+00:00
Calamus pennatula,1,3,2011,['Marine'],2011-03-30 00:00:00+00:00
Calamus penna,1,3,2011,['Marine'],2011-03-31 00:00:00+00:00
Archosargus probatocephalus,1,1,2011,['Marine'],2011-03-31 00:00:00+00:00
Calamus calamus,1,3,2011,['Marine'],2011-03-30 00:00:00+00:00
Vigna luteola,1,1,2019,"['Terrestrial', 'Freshwater']",2019-07-31 00:00:00+00:00
Indotyphlops braminus,1,2,2018,['Terrestrial'],2018-08-10 00:00:00+00:00
Diospyros salicifolia,1,1,2022,['Terrestrial'],2022-01-27 00:00:00+00:00
Diospyros acapulcensis,1,1,2020,['Terrestrial'],2020-10-24 00:00:00+00:00
Diospyros yatesiana,1,1,2020,['Terrestrial'],2020-08-10 00:00:00+00:00
Schoenoplectus tabernaemontani,1,1,2011,['Freshwater'],2011-07-17 00:00:00+00:00
Siderolamprus scansorius,4,0,2012,['Terrestrial'],2012-05-08 00:00:00+00:00
Abronia moreletii,1,1,2012,['Terrestrial'],2012-05-12 00:00:00+00:00
Drymobius melanotropis,1,3,2012,['Terrestrial'],2012-05-09 00:00:00+00:00
Ninia espinali,2,0,2012,['Terrestrial'],2012-05-07 00:00:00+00:00
Nothopsis rugosus,1,3,2013,['Terrestrial'],2013-10-25 00:00:00+00:00
Oryza latifolia,1,1,2014,"['Terrestrial', 'Freshwater']",2014-04-01 00:00:00+00:00
Omoadiphas texiguatensis,5,0,2012,['Terrestrial'],2012-05-08 00:00:00+00:00
Pliocercus euryzonus,1,3,2013,['Terrestrial'],2013-10-25 00:00:00+00:00
Tantilla vermiformis,1,3,2012,['Terrestrial'],2012-05-07 00:00:00+00:00
Urotheca guentheri,1,3,2012,['Terrestrial'],2012-05-07 00:00:00+00:00
Acanthurus coeruleus,1,1,2010,['Marine'],2010-05-03 00:00:00+00:00
Acanthurus triostegus,1,1,2010,['Marine'],2010-05-04 00:00:00+00:00
Acanthurus chirurgus,1,1,2010,['Marine'],2010-05-03 00:00:00+00:00
Centropomus medius,1,3,2018,"['Marine', 'Freshwater']",2018-11-12 00:00:00+00:00
Centropomus robalito,1,3,2018,"['Marine', 'Freshwater']",2018-11-13 00:00:00+00:00
Anolis loveridgei,4,0,2012,['Terrestrial'],2012-05-07 00:00:00+00:00
Anolis cusuco,5,0,2012,['Terrestrial'],2012-06-08 00:00:00+00:00
Anolis sminthus,4,0,2012,['Terrestrial'],2012-05-07 00:00:00+00:00
Anolis amplisquamosus,5,0,2016,['Terrestrial'],2016-09-12 00:00:00+00:00
Anolis muralla,5,0,2012,['Terrestrial'],2012-05-07 00:00:00+00:00
Sphaerodactylus dunni,1,1,2012,['Terrestrial'],2012-05-08 00:00:00+00:00
Aspidoscelis deppii,1,1,2012,['Terrestrial'],2012-05-08 00:00:00+00:00
