internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
10030,Hexanchus griseus,ANIMALIA,CHORDATA,CHONDRICHTHYES,HEXANCHIFORMES,HEXANCHIDAE,Hexanchus,griseus,,,,,"(Bonnaterre, 1788)",
12417,Lutjanus cyanopterus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Lutjanus,cyanopterus,,,,,"(Cuvier, 1828)",
137164,Canthon indigaceus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Canthon,indigaceus,,,,,"LeConte, 1866","Halffter (1961) proposed three subspecies: <em>C. indigaceus indigaceus</em>, <em>C. indigaceus chaipas</em> and <em>C. indigaceus chevrolati</em>."
137471,Ateuchus guatemalensis,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Ateuchus,guatemalensis,,,,,"(Bates, 1887)","<em>Ateuchus</em> is a diverse genus, with over 90 species, distributed from the USA to Argentina, and the Antilles. There are several taxonomic and nomenclatural problems, and many species to describe."
137542,Ontherus azteca,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Ontherus,azteca,,,,,"Harold, 1869","The genus <em>Ontherus</em> was revised by Génier (1996).<strong> </strong>Its consists approximately of 60 species that are distributed throughout continental tropical and subtropical Latin America. However, the greater diversity of the group occurs in southeastern Brazil and the Andes (Génier 1996). The species that compose the genus are divided into three subgenera: <em>Caelontherus</em>, <em>Planontherus</em> and <em>Ontherus</em>."
138556,Coprophanaeus corythus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Coprophanaeus,corythus,,,,,"(Harold, 1863)","<p>According to<strong> </strong>Edmonds<strong> </strong>and Zidek (2010), the Neotropical genus <em>Coprophanaeus </em>Olsoufieff (1924) is currently represented by 38 species, distributed among three subgenera (<em>Megaphanaeus</em> Olsoufieff, <em>Metallophanaeus</em> Olsoufieff, and <em>Coprophanaeus</em> s. str.) and eight species groups. According to Edmonds<strong> </strong>and Zidek (2010), <em>Coprophanaeus corythus</em> (Harold), formerly regarded as a subspecies of <em>C. telamon</em> (Erichson), assumes species status.&#160;</p>"
155020,Anchoa walkeri,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,ENGRAULIDAE,Anchoa,walkeri,,,,,"Baldwin &amp; Chang, 1970",
155051,Microgobius tabogensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,GOBIIFORMES,GOBIIDAE,Microgobius,tabogensis,,,,,"Meek &amp; Hildebrand, 1928",
155080,Hyporhamphus roberti,ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,HEMIRAMPHIDAE,Hyporhamphus,roberti,,,,,"(Valenciennes, 1847)",<strong>Published data: </strong>This species has two subspecies:&#160; <em>Hyporhamphus roberti hildebrandi</em> and <em>Hyporhamphus roberti roberti</em>.<br/><strong>Jamaica Caribbean Workshop:</strong>Early records of <em>Hyporhamphus roberti</em> from continental United States refer to either <em>H. meeki</em> or <em>H. unifasciatus</em>.
155130,Caranx sexfasciatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,Caranx,sexfasciatus,,,,,"Quoy &amp; Gaimard, 1825",
155152,Lutjanus apodus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Lutjanus,apodus,,,,,"(Walbaum, 1792)",
155259,Strongylura marina,ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,BELONIDAE,Strongylura,marina,,,,,"(Walbaum, 1792)","<p>Two other common and very similar species of western Atlantic <em>Strongylura</em> occur alongside <em>Strongylura marina</em> in the Western Central Atlantic: <em>Strongylura notata</em> and <em>Strongylura timucu</em>. Until the late 1960s, S. timucu was largely considered to be synonymous with <em>S. marina</em> (Berry and Rivas 1962). Collette (1968) notes that <em>S. notata</em> differs from <em>S. marina</em> and <em>S. timucu</em> in having fewer anal rays and fewer predorsal scales, and internal examination also reveals fewer vertebrae and other distinguishing skeletal features. Internal examination also reveals that both gonads are developed in <em>S. tumucu</em> while only the right gonad is developed in <em>S. marina</em>. Typically, <em>S. timucu</em> is also somewhat darker in coloration than <em>S. marina</em> (Hoese and Moore 1977). <em>Strongylura notata</em> differs externally from <em>S. marina</em>, possessing 13-15 dorsal rays and 13-16 anal rays (Hoese and Moore 1977).<strong></strong></p>"
158175,Dalechampia scandens,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Dalechampia,scandens,,,,,L.,
160495,Battus ingenuus,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,PAPILIONIDAE,Battus,ingenuus,,,,,"(Dyar, 1907)",The type locality for this species is Mexico. No subspecies are formally recognized for the taxon.
160604,Papilio ornythion,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,PAPILIONIDAE,Papilio,ornythion,,,,,"Boisduval, 1836","Some taxonomic sources have elevated the subgenus&#160;<em>Heraclides</em>&#160;to species level (e.g. Hancock 1983, Warren&#160;<em>et al</em>. 2016); however, molecular studies on&#160;<em>Papilio</em>&#160;phylogeny (e.g. Aubert&#160;<em>et al</em>. 1999, Caterino and Sperling 1999) showed that there was little support for this. Additional ongoing work has come to the same conclusion that there is no evidence for splitting&#160;<em>Papilio&#160;</em>into several subgenera (F. Sperling and F. Condamine pers. comm. March 2020)."
160608,Libytheana carinenta,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Libytheana,carinenta,,,,,"(Cramer, 1777)","The American Snout&#160;(<em>Libytheana carinenta</em>) has several subspecies: <em>L. c.</em><span style=""font-style: italic;""> carinenta</span><em>,</em><span style=""font-style: italic;"">&#160;</span><em>L. c.</em><span style=""font-style: italic;"">mexicana</span><em>,</em><em>&#160;</em><em>L. c.</em><span style=""font-style: italic;"">&#160;streckeri</span><em>,</em><span style=""font-style: italic;"">&#160;</span><em>L. c.</em><span style=""font-style: italic;"">&#160;larvata</span><em>, </em>and <em>L. c.&#160;</em><span style=""font-style: italic;"">bachmanii</span><em> </em>(the Mexican Snout); the latter&#160;was formerly recognised&#160;as a separate species, <span style=""font-style: italic;"">Libytheana bachmanii&#160;</span>(Warren <em>et al</em>. 2016)."
160668,Danaus gilippus,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Danaus,gilippus,,,,,"(Cramer, 1775)",This species is split into several subspecies across its range (Scott 1986).
161254,Vanessa virginiensis,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Vanessa,virginiensis,,,,,"(Drury, 1773)",
161378,Carcharhinus acronotus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,acronotus,,,,,"(Poey, 1860)",
161436,Myliobatis goodei,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Myliobatis,goodei,,,,,"Garman, 1885","Records of eastern Atlantic <em>Myliobatis aquila</em> from southern Brazil probably refer to this species, if both species are indeed distinct (if not, the name <em>M. aquila</em> has priority). There are two sister species in the southern part of its range under the present name <em>M. goodei</em>, with a description of the second species pending (Ruocco <em>et al. </em>2012)."
161518,Mustelus norrisi,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Mustelus,norrisi,,,,,"Springer, 1939","This species can be visually distinguished from two morphologically similar regional congeners, the Dusky Smoothhound (<em>Mustelus canis</em>) and the Gulf of Mexico Smoothhound (<em>M. sinusmexicanus</em>) by several characters including fin shape and ampullary pore patterns (Giresi <em>et al. </em>2013)."
161564,Carcharhinus altimus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,altimus,,,,,"(Springer, 1950)","The Bignose Shark is morphologically distinct but genetically similar to the Sandbar Shark (<em>Carcharhinus plumbeus</em>) (Naylor <em>et al.</em> 2012, Duffy and Struthers 2017)."
